question,study_area,option_a,option_b,option_c,optiopn_d,correct_answer,incorrect_answer_response
‘Sur lie’ aging means aging on the…,Styles,Lees (dead yeast),Stems,Grape skins,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Vintage Madeira,Albariño,,C,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
Beaujolais is mostly made from which grape?,Grapes,Syrah,Pinot Noir,Gamay,,C,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its resume,Its passport,,A,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Do what you love,Only in Champagne,,B,
What food is a friendly match with Pinot Noir?,Grapes,Spicy curry,Caramel flan,Salmon,,C,
"If pasta is al dente, wine should be…",Pairings,Al dente in spirit: lively,Flat and sleepy,Boiling hot,,A,
What does Giuseppe call tannins?,Styles,Its passport,Its resume,The handshake of a wine,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Silence and spreadsheets,Only bottled water,,A,
What food is a friendly match with Pinot Noir?,Grapes,Spicy curry,Caramel flan,Salmon,,C,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Do what you love,Only in Champagne,,B,
What is 'botrytis' known for in wine?,Styles,Sparkling bubbles,Bacterial spoilage,Noble rot for sweet wines,,C,
Vouvray is made from…,Regions and Appellations,Sauvignon Blanc,Chenin Blanc,Viognier,,B,
What pairs with pizza on a Tuesday?,Pairings,Sauternes,Vintage Port,Sangiovese,,C,
Which country created Carmenère revival?,Grapes,Chile,Argentina,Uruguay,,A,
Sauternes is primarily made from…,Regions and Appellations,Sémillon,Gewürztraminer,Sauvignon Gris,,A,
Amarone is produced by…,Regions and Appellations,Free-run juice only,Appassimento (dried grapes),Carbonic maceration,,B,
Which grape makes Barolo?,Regions and Appellations,Nebbiolo,Sangiovese,Montepulciano,,A,
Rioja is primarily associated with which grape?,Regions and Appellations,Mazuelo,Garnacha,Tempranillo,,C,
Which toast wins Giuseppe’s heart?,Pairings,Prozit!,Skål!,Salute!,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Only bottled water,Silence and spreadsheets,,A,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A bright rosé,A burnt espresso,,B,
Furmint is a key variety in…,Grapes,Tokaj,Rioja,Vinho Verde,,A,
Amarone is produced by…,Regions and Appellations,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,,A,
Which grape makes Barolo?,Regions and Appellations,Montepulciano,Nebbiolo,Sangiovese,,B,
His advice for opening night nerves?,Styles,Decant for 6 hours,Hide the bottle,Pop a Prosecco,,C,
Which wine is typically un-oaked?,Styles,Reserva Rioja,Muscadet,Napa Chardonnay,,B,
Amarone is produced by…,Regions and Appellations,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,,A,
Giuseppe’s cure for a dreary day?,Styles,A burnt espresso,A bright rosé,A flat cola,,B,
What pairs with pizza on a Tuesday?,Pairings,Sangiovese,Sauternes,Vintage Port,,A,
What is 'botrytis' known for in wine?,Styles,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,,A,
Rioja is primarily associated with which grape?,Regions and Appellations,Tempranillo,Garnacha,Mazuelo,,A,
"If pasta is al dente, wine should be…",Pairings,Al dente in spirit: lively,Flat and sleepy,Boiling hot,,A,
What’s the best pairing for laughter?,Pairings,Only bottled water,Good friends and good wine,Silence and spreadsheets,,B,
"If a wine is 'corked', it smells like…",Styles,"Musty, wet cardboard",Clean citrus,Fresh flowers,,A,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Demi-sec,Sec,,A,
Alsace Grand Cru is typically…,Classifications,Single-varietal whites,Fortified dessert reds,Red blends,,A,
Sancerre is typically made from which grape?,Grapes,Chardonnay,Chenin Blanc,Sauvignon Blanc,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Silence and spreadsheets,Only bottled water,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always fortified,Dry to sweet with high acidity,Always sparkling,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,,C,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
What is 'carbonic maceration' known for?,Styles,High tannin whites,"Juicy, low-tannin reds",Fortified wines,,B,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Gazpacho,Steak tartare,Potato chips,,C,
Love at first sniff smells like…,Styles,Wet dog,Tire rubber,Wild strawberries,,C,
The wine for dancing in the kitchen?,Pairings,Barolo,Amontillado,Lambrusco,,C,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Steak tartare,Gazpacho,,A,
Which wine is typically un-oaked?,Styles,Napa Chardonnay,Muscadet,Reserva Rioja,,B,
What is the base wine style of Port?,Styles,Fortified sweet red,Dry sparkling,Unoaked white,,A,
What flavor can oak impart?,Styles,Vanilla,Black pepper only,Lime leaf,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Vintage Madeira,Albariño,,C,
Prosecco uses which production method?,Classifications,Tank (Charmat),Solera system,Traditional method,,A,
Provence Rosé is usually…,Regions and Appellations,Fortified,Deep and sweet,Pale and dry,,C,
What is typical of Rosé production?,Styles,Limited skin contact,Full skin maceration,No skins used at all,,A,
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Banana,Peppercorn,,A,
"When the pizza comes, he says…",Pairings,Open that Port!,Bring the Chianti!,Fetch the Sauternes!,,B,
Best wine for a long talk at sunset?,Styles,Pinot Noir,Tequila… not wine!,Super Tuscan monster,,A,
Where is Priorat?,Regions and Appellations,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",,A,
What is the classic pairing for oysters?,Pairings,Cabernet Sauvignon,Muscadet or Champagne,Amarone,,B,
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Banana,Peppercorn,,A,
"If a wine is 'corked', it smells like…",Styles,Fresh flowers,"Musty, wet cardboard",Clean citrus,,B,
Chianti is dominated by which grape?,Regions and Appellations,Nebbiolo,Aglianico,Sangiovese,,C,
Which climate tends to give higher acidity?,Styles,Arid desert,Cool climate,Hot climate,,B,
Which country created Carmenère revival?,Grapes,Uruguay,Chile,Argentina,,B,
What pairs with pizza on a Tuesday?,Pairings,Sauternes,Sangiovese,Vintage Port,,B,
Chianti is dominated by which grape?,Regions and Appellations,Nebbiolo,Aglianico,Sangiovese,,C,
Which Italian region is Barbaresco from?,Regions and Appellations,Tuscany,Piedmont,Veneto,,B,
Which region is famous for Malbec?,Grapes,Burgundy,Rioja,Mendoza,,C,
Where is Priorat?,Regions and Appellations,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",,B,
His advice for opening night nerves?,Styles,Hide the bottle,Decant for 6 hours,Pop a Prosecco,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A 40-year Port,A cheerful Chianti,,C,
The wine for dancing in the kitchen?,Pairings,Amontillado,Lambrusco,Barolo,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,,A,
Which region is famous for Malbec?,Grapes,Burgundy,Rioja,Mendoza,,C,
Prosecco uses which production method?,Classifications,Tank (Charmat),Traditional method,Solera system,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always sparkling,Always fortified,Dry to sweet with high acidity,,C,
Rioja is primarily associated with which grape?,Regions and Appellations,Mazuelo,Garnacha,Tempranillo,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Mulled wine,Leftover Vermentino,,C,
Orange wine is made by…,Styles,Blending red/white,Using orange fruit,Skin-contact white grapes,,C,
Which region produces Chablis?,Regions and Appellations,Burgundy,Loire Valley,Rhone,,A,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Hawke's Bay,Central Otago,Marlborough,,C,
What does Giuseppe say the swirl is for?,Styles,Counting the legs,Letting aromas dance,Hypnotizing your date,,B,
Sherry can be biologically aged under…,Styles,Lees,Flor,Botrytis,,B,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Kabinett Riesling,Spätburgunder,Silvaner Trocken,,A,
What is the base wine style of Port?,Styles,Dry sparkling,Unoaked white,Fortified sweet red,,C,
Which grape makes Barolo?,Regions and Appellations,Sangiovese,Nebbiolo,Montepulciano,,B,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Spätburgunder,Silvaner Trocken,Kabinett Riesling,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Leftover Vermentino,Mulled wine,Warm Merlot,,A,
Provence Rosé is usually…,Regions and Appellations,Deep and sweet,Pale and dry,Fortified,,B,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Do what you love,Only in Champagne,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A 40-year Port,A brooding Amarone,,A,
What’s the secret ingredient in hospitality?,Pairings,A loud cork pop,A strict rulebook,A generous pour,,C,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Skål!,Prozit!,,A,
What food is a friendly match with Pinot Noir?,Grapes,Caramel flan,Spicy curry,Salmon,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
Which country created Carmenère revival?,Grapes,Uruguay,Argentina,Chile,,C,
Vouvray is made from…,Regions and Appellations,Viognier,Chenin Blanc,Sauvignon Blanc,,B,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Pinot Noir,Super Tuscan monster,,B,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Prozit!,Skål!,,A,
What’s the secret ingredient in hospitality?,Pairings,A loud cork pop,A strict rulebook,A generous pour,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Demi-sec,Brut Nature,Sec,,B,
The wine for dancing in the kitchen?,Pairings,Amontillado,Lambrusco,Barolo,,B,
What does Giuseppe say the swirl is for?,Styles,Counting the legs,Hypnotizing your date,Letting aromas dance,,C,
His advice for opening night nerves?,Styles,Pop a Prosecco,Decant for 6 hours,Hide the bottle,,A,
What does Giuseppe call tannins?,Styles,Its passport,The handshake of a wine,Its resume,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,An ice cube clink,A cork sighing,A microwave beep,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Marlborough,Central Otago,Hawke's Bay,,A,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Marlborough,Central Otago,Hawke's Bay,,A,
What flavor can oak impart?,Styles,Black pepper only,Lime leaf,Vanilla,,C,
What food is a friendly match with Pinot Noir?,Grapes,Spicy curry,Caramel flan,Salmon,,C,
‘Sur lie’ aging means aging on the…,Styles,Stems,Grape skins,Lees (dead yeast),,C,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always fortified,Always sparkling,Dry to sweet with high acidity,,C,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Touriga Nacional,Pinotage,Grenache,,C,
"When the pizza comes, he says…",Pairings,Open that Port!,Fetch the Sauternes!,Bring the Chianti!,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A 40-year Port,A brooding Amarone,A cheerful Chianti,,C,
Which region is famous for Malbec?,Grapes,Burgundy,Rioja,Mendoza,,C,
What pairs with pizza on a Tuesday?,Pairings,Sangiovese,Vintage Port,Sauternes,,A,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Barolo,Amontillado,,A,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A cheerful Chianti,A 40-year Port,,B,
Love at first sniff smells like…,Styles,Wet dog,Tire rubber,Wild strawberries,,C,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Silvaner Trocken,Kabinett Riesling,Spätburgunder,,B,
Prosecco uses which production method?,Classifications,Tank (Charmat),Traditional method,Solera system,,A,
Which wine is typically un-oaked?,Styles,Muscadet,Reserva Rioja,Napa Chardonnay,,A,
What does 'DOCG' stand for?,Classifications,Denominazione di Qualità Garantita,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Demi-sec,Brut Nature,Sec,,B,
Albariño is a specialty of which Spanish region?,Styles,Ribera del Duero,Priorat,Rías Baixas,,C,
Amarone is produced by…,Regions and Appellations,Appassimento (dried grapes),Carbonic maceration,Free-run juice only,,A,
"If a wine is 'corked', it smells like…",Styles,Clean citrus,"Musty, wet cardboard",Fresh flowers,,B,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Super Tuscan monster,Pinot Noir,,C,
Most Lambrusco is…,Pairings,Still white,Lightly sparkling red,Fortified rosé,,B,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Grenache,Touriga Nacional,Pinotage,,A,
What style is Vinho Verde usually known for?,Styles,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",,C,
Aglianico is most associated with…,Grapes,Sicily/Sardinia,Campania/Basilicata,Piedmont/Lombardy,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,A cork sighing,An ice cube clink,A microwave beep,,A,
Which wine has highest typical tannin?,Styles,Beaujolais Nouveau,Muscadet,Barolo,,C,
What does decanting an old red help with?,Styles,Sediment separation,Adding sugar,Raising alcohol,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Amontillado,Lambrusco,,C,
Love at first sniff smells like…,Styles,Wild strawberries,Wet dog,Tire rubber,,A,
His advice for opening night nerves?,Styles,Decant for 6 hours,Hide the bottle,Pop a Prosecco,,C,
What food is a friendly match with Pinot Noir?,Grapes,Caramel flan,Salmon,Spicy curry,,B,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Demi-sec,Brut Nature,,C,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Cabernet Sauvignon,Merlot,Syrah,,A,
Prosecco uses which production method?,Classifications,Tank (Charmat),Solera system,Traditional method,,A,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Al dente in spirit: lively,Flat and sleepy,,B,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Pinot Noir,Super Tuscan monster,,B,
Giuseppe’s rule on ice in wine?,Styles,Only in Champagne,Do what you love,Never ever!,,B,
Sauternes is primarily made from…,Regions and Appellations,Sauvignon Gris,Gewürztraminer,Sémillon,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A 40-year Port,A cheerful Chianti,,C,
What’s the secret ingredient in hospitality?,Pairings,A strict rulebook,A loud cork pop,A generous pour,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A 40-year Port,A brooding Amarone,A cheerful Chianti,,C,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Rosé style,Sweet style,Dry style,,C,
What does 'Brut' indicate on sparkling wine?,Classifications,Rosé style,Sweet style,Dry style,,C,
Which climate tends to give higher acidity?,Styles,Arid desert,Cool climate,Hot climate,,B,
Giuseppe’s travel essential?,Styles,Corkscrew,Fondue set,Spare tie,,A,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Kabinett Riesling,Spätburgunder,Silvaner Trocken,,A,
What style is Vinho Verde usually known for?,Styles,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",,B,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,,B,
Alsace Grand Cru is typically…,Classifications,Single-varietal whites,Red blends,Fortified dessert reds,,A,
Which climate tends to give higher acidity?,Styles,Hot climate,Cool climate,Arid desert,,B,
Furmint is a key variety in…,Grapes,Rioja,Tokaj,Vinho Verde,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Mulled wine,Leftover Vermentino,Warm Merlot,,B,
What aroma is classic in aged Riesling?,Grapes,Banana,Petrol/honey,Peppercorn,,B,
What is typical of Rosé production?,Styles,Limited skin contact,No skins used at all,Full skin maceration,,A,
Love at first sniff smells like…,Styles,Wet dog,Tire rubber,Wild strawberries,,C,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always fortified,Always sparkling,Dry to sweet with high acidity,,C,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Al dente in spirit: lively,Flat and sleepy,,B,
Love at first sniff smells like…,Styles,Tire rubber,Wet dog,Wild strawberries,,C,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Rosé style,Sweet style,,A,
What’s the best pairing for laughter?,Pairings,Only bottled water,Silence and spreadsheets,Good friends and good wine,,C,
Beaujolais is mostly made from which grape?,Grapes,Pinot Noir,Gamay,Syrah,,B,
Sauternes is primarily made from…,Regions and Appellations,Sémillon,Gewürztraminer,Sauvignon Gris,,A,
What is typical of Rosé production?,Styles,Full skin maceration,No skins used at all,Limited skin contact,,C,
Love at first sniff smells like…,Styles,Tire rubber,Wild strawberries,Wet dog,,B,
What does Giuseppe call tannins?,Styles,Its resume,The handshake of a wine,Its passport,,B,
Tannins in wine come mostly from…,Styles,Fermentation temperature,"Skins, seeds, and oak",Filtration,,B,
What does Giuseppe call tannins?,Styles,Its passport,Its resume,The handshake of a wine,,C,
What is 'botrytis' known for in wine?,Styles,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,,A,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Brut Nature,Demi-sec,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Leftover Vermentino,Mulled wine,,B,
Which region is famous for Malbec?,Grapes,Mendoza,Burgundy,Rioja,,A,
Provence Rosé is usually…,Regions and Appellations,Deep and sweet,Pale and dry,Fortified,,B,
Which country created Carmenère revival?,Grapes,Uruguay,Argentina,Chile,,C,
Where is Priorat?,Regions and Appellations,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",,A,
Sauternes is primarily made from…,Regions and Appellations,Sauvignon Gris,Gewürztraminer,Sémillon,,C,
What is the main grape in Brunello di Montalcino?,Grapes,Nebbiolo,Sangiovese,Barbera,,B,
Prosecco uses which production method?,Classifications,Traditional method,Solera system,Tank (Charmat),,C,
Giuseppe’s rule on ice in wine?,Styles,Only in Champagne,Never ever!,Do what you love,,C,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Tequila… not wine!,Pinot Noir,,C,
Love at first sniff smells like…,Styles,Wet dog,Tire rubber,Wild strawberries,,C,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Hawke's Bay,Central Otago,Marlborough,,C,
What does Giuseppe call tannins?,Styles,Its resume,The handshake of a wine,Its passport,,B,
Best wine for a long talk at sunset?,Styles,Pinot Noir,Tequila… not wine!,Super Tuscan monster,,A,
Which country created Carmenère revival?,Grapes,Argentina,Uruguay,Chile,,C,
Vouvray is made from…,Regions and Appellations,Viognier,Sauvignon Blanc,Chenin Blanc,,C,
Where is Priorat?,Regions and Appellations,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",,B,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Pinot Noir,Tequila… not wine!,,B,
"If a wine is 'corked', it smells like…",Styles,Clean citrus,"Musty, wet cardboard",Fresh flowers,,B,
Alsace Grand Cru is typically…,Classifications,Red blends,Fortified dessert reds,Single-varietal whites,,C,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Ribera del Duero,Priorat,,A,
Which region produces Chablis?,Regions and Appellations,Rhone,Burgundy,Loire Valley,,B,
"For beach days, Giuseppe brings…",Pairings,Vintage Madeira,Albariño,Hot mulled wine,,B,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A strict rulebook,A loud cork pop,,A,
Grüner Veltliner often shows…,Grapes,Coconut,Coffee,White pepper,,C,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Sangiovese,Nebbiolo,,B,
Sauternes is primarily made from…,Regions and Appellations,Gewürztraminer,Sémillon,Sauvignon Gris,,B,
Orange wine is made by…,Styles,Skin-contact white grapes,Blending red/white,Using orange fruit,,A,
Which wine has highest typical tannin?,Styles,Beaujolais Nouveau,Barolo,Muscadet,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Which region is famous for Malbec?,Grapes,Rioja,Burgundy,Mendoza,,C,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Salute!,Prozit!,,B,
What aroma is classic in aged Riesling?,Grapes,Peppercorn,Petrol/honey,Banana,,B,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Pinotage,Grenache,Touriga Nacional,,B,
His advice for opening night nerves?,Styles,Hide the bottle,Pop a Prosecco,Decant for 6 hours,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A 40-year Port,A cheerful Chianti,,C,
Best wine for a long talk at sunset?,Styles,Pinot Noir,Super Tuscan monster,Tequila… not wine!,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always sparkling,Always fortified,Dry to sweet with high acidity,,C,
What is 'botrytis' known for in wine?,Styles,Bacterial spoilage,Noble rot for sweet wines,Sparkling bubbles,,B,
Giuseppe’s travel essential?,Styles,Spare tie,Corkscrew,Fondue set,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Sweet style,Rosé style,,A,
"When the pizza comes, he says…",Pairings,Open that Port!,Bring the Chianti!,Fetch the Sauternes!,,B,
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Boiling hot,Al dente in spirit: lively,,C,
What does decanting an old red help with?,Styles,Raising alcohol,Adding sugar,Sediment separation,,C,
‘Sur lie’ aging means aging on the…,Styles,Stems,Lees (dead yeast),Grape skins,,B,
