question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
What’s the best pairing for laughter?,Only bottled water,Good friends and good wine,Silence and spreadsheets,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Pairings
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Clean citrus,Fresh flowers,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Styles
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,Cava,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Alsace Grand Cru is typically…,Single-varietal whites,Fortified dessert reds,Red blends,Cava,A,Close! Swirl the glass and give it another go.,Classifications
Sancerre is typically made from which grape?,Chardonnay,Chenin Blanc,Sauvignon Blanc,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,Prosecco,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,Port,C,Close! Swirl the glass and give it another go.,Classifications
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Albariño,A,Close! Swirl the glass and give it another go.,Pairings
What is 'carbonic maceration' known for?,High tannin whites,"Juicy, low-tannin reds",Fortified wines,Port,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Steak tartare,Potato chips,Grüner Veltliner,C,Close! Swirl the glass and give it another go.,Pairings
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Styles
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
Which wine is typically un-oaked?,Napa Chardonnay,Muscadet,Reserva Rioja,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
What is the base wine style of Port?,Fortified sweet red,Dry sparkling,Unoaked white,Port,A,Not quite—Giuseppe says take another sip and try again.,Styles
What flavor can oak impart?,Vanilla,Black pepper only,Lime leaf,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,Chianti Classico,C,Close! Swirl the glass and give it another go.,Pairings
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Classifications
Provence Rosé is usually…,Fortified,Deep and sweet,Pale and dry,Pinot Noir,C,Close! Swirl the glass and give it another go.,Regions and Appellations
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Styles
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,Rosé,A,Close! Swirl the glass and give it another go.,Grapes
"When the pizza comes, he says…",Open that Port!,Bring the Chianti!,Fetch the Sauternes!,Albariño,B,Close! Swirl the glass and give it another go.,Pairings
Best wine for a long talk at sunset?,Pinot Noir,Tequila… not wine!,Super Tuscan monster,Prosecco,A,Close! Swirl the glass and give it another go.,Styles
Where is Priorat?,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",Rosé,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What is the classic pairing for oysters?,Cabernet Sauvignon,Muscadet or Champagne,Amarone,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Grapes
"If a wine is 'corked', it smells like…",Fresh flowers,"Musty, wet cardboard",Clean citrus,Sauternes,B,Close! Swirl the glass and give it another go.,Styles
Chianti is dominated by which grape?,Nebbiolo,Aglianico,Sangiovese,Albariño,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,Albariño,B,Close! Swirl the glass and give it another go.,Styles
Which country created Carmenère revival?,Uruguay,Chile,Argentina,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What pairs with pizza on a Tuesday?,Sauternes,Sangiovese,Vintage Port,Barolo,B,Close! Swirl the glass and give it another go.,Pairings
Chianti is dominated by which grape?,Nebbiolo,Aglianico,Sangiovese,Pinot Noir,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Which Italian region is Barbaresco from?,Tuscany,Piedmont,Veneto,Sauternes,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,Muscadet,C,Close! Swirl the glass and give it another go.,Grapes
Where is Priorat?,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",Pinot Noir,B,Close! Swirl the glass and give it another go.,Regions and Appellations
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,Barolo,C,Close! Swirl the glass and give it another go.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Pairings
The wine for dancing in the kitchen?,Amontillado,Lambrusco,Barolo,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Albariño,A,Close! Swirl the glass and give it another go.,Classifications
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,Sherry,C,Close! Swirl the glass and give it another go.,Grapes
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,Port,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Rioja is primarily associated with which grape?,Mazuelo,Garnacha,Tempranillo,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,Grüner Veltliner,C,Close! Swirl the glass and give it another go.,Pairings
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,Prosecco,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Central Otago,Marlborough,Port,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What does Giuseppe say the swirl is for?,Counting the legs,Letting aromas dance,Hypnotizing your date,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
Sherry can be biologically aged under…,Lees,Flor,Botrytis,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
What is the base wine style of Port?,Dry sparkling,Unoaked white,Fortified sweet red,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Which wine is usually off-dry and low alcohol in Germany?,Spätburgunder,Silvaner Trocken,Kabinett Riesling,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Provence Rosé is usually…,Deep and sweet,Pale and dry,Fortified,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A 40-year Port,A brooding Amarone,Port,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What’s the secret ingredient in hospitality?,A loud cork pop,A strict rulebook,A generous pour,Sauternes,C,Close! Swirl the glass and give it another go.,Pairings
Which toast wins Giuseppe’s heart?,Salute!,Skål!,Prozit!,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Grapes
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Cava,A,Close! Swirl the glass and give it another go.,Pairings
Which country created Carmenère revival?,Uruguay,Argentina,Chile,Muscadet,C,Close! Swirl the glass and give it another go.,Grapes
Vouvray is made from…,Viognier,Chenin Blanc,Sauvignon Blanc,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Best wine for a long talk at sunset?,Tequila… not wine!,Pinot Noir,Super Tuscan monster,Port,B,Close! Swirl the glass and give it another go.,Styles
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,Chianti Classico,A,Close! Swirl the glass and give it another go.,Pairings
What’s the secret ingredient in hospitality?,A loud cork pop,A strict rulebook,A generous pour,Cava,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Champagne sweetness: which is driest?,Demi-sec,Brut Nature,Sec,Muscadet,B,Close! Swirl the glass and give it another go.,Regions and Appellations
The wine for dancing in the kitchen?,Amontillado,Lambrusco,Barolo,Port,B,Close! Swirl the glass and give it another go.,Pairings
What does Giuseppe say the swirl is for?,Counting the legs,Hypnotizing your date,Letting aromas dance,Barolo,C,Close! Swirl the glass and give it another go.,Styles
His advice for opening night nerves?,Pop a Prosecco,Decant for 6 hours,Hide the bottle,Rosé,A,Close! Swirl the glass and give it another go.,Styles
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s favorite sound in a quiet room?,An ice cube clink,A cork sighing,A microwave beep,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Grapes
What flavor can oak impart?,Black pepper only,Lime leaf,Vanilla,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,Albariño,C,Close! Swirl the glass and give it another go.,Grapes
‘Sur lie’ aging means aging on the…,Stems,Grape skins,Lees (dead yeast),Sherry,C,Close! Swirl the glass and give it another go.,Styles
Classic Loire Chenin Blanc can be…,Always fortified,Always sparkling,Dry to sweet with high acidity,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Grapes
"When the pizza comes, he says…",Open that Port!,Fetch the Sauternes!,Bring the Chianti!,Port,C,Close! Swirl the glass and give it another go.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A brooding Amarone,A cheerful Chianti,Port,C,Close! Swirl the glass and give it another go.,Pairings
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,Rosé,C,Close! Swirl the glass and give it another go.,Grapes
What pairs with pizza on a Tuesday?,Sangiovese,Vintage Port,Sauternes,Cava,A,Close! Swirl the glass and give it another go.,Pairings
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,Port,A,Close! Swirl the glass and give it another go.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A cheerful Chianti,A 40-year Port,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,Port,C,Close! Swirl the glass and give it another go.,Styles
Which wine is usually off-dry and low alcohol in Germany?,Silvaner Trocken,Kabinett Riesling,Spätburgunder,Rosé,B,Close! Swirl the glass and give it another go.,Styles
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,Pinot Noir,A,Close! Swirl the glass and give it another go.,Classifications
Which wine is typically un-oaked?,Muscadet,Reserva Rioja,Napa Chardonnay,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
What does 'DOCG' stand for?,Denominazione di Qualità Garantita,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Champagne sweetness: which is driest?,Demi-sec,Brut Nature,Sec,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Albariño is a specialty of which Spanish region?,Ribera del Duero,Priorat,Rías Baixas,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Styles
Amarone is produced by…,Appassimento (dried grapes),Carbonic maceration,Free-run juice only,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If a wine is 'corked', it smells like…",Clean citrus,"Musty, wet cardboard",Fresh flowers,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Styles
Best wine for a long talk at sunset?,Tequila… not wine!,Super Tuscan monster,Pinot Noir,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
Most Lambrusco is…,Still white,Lightly sparkling red,Fortified rosé,Prosecco,B,Close! Swirl the glass and give it another go.,Pairings
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Grapes
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",Prosecco,C,Close! Swirl the glass and give it another go.,Styles
