question,option_a,option_b,option_c,correct_answer
‘Sur lie’ aging means aging on the…,Stems,Grape skins,Lees (dead yeast),C
Classic Loire Chenin Blanc can be…,Always fortified,Always sparkling,Dry to sweet with high acidity,C
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,C
"When the pizza comes, he says…",Open that Port!,Fetch the Sauternes!,Bring the Chianti!,C
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A brooding Amarone,A cheerful Chianti,C
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,C
What pairs with pizza on a Tuesday?,Sangiovese,Vintage Port,Sauternes,A
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,A
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A cheerful Chianti,A 40-year Port,B
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,C
Which wine is usually off-dry and low alcohol in Germany?,Silvaner Trocken,Kabinett Riesling,Spätburgunder,B
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,A
Which wine is typically un-oaked?,Muscadet,Reserva Rioja,Napa Chardonnay,A
What does 'DOCG' stand for?,Denominazione di Qualità Garantita,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,C
Champagne sweetness: which is driest?,Demi-sec,Brut Nature,Sec,B
Albariño is a specialty of which Spanish region?,Ribera del Duero,Priorat,Rías Baixas,C
Amarone is produced by…,Appassimento (dried grapes),Carbonic maceration,Free-run juice only,A
"If a wine is 'corked', it smells like…",Clean citrus,"Musty, wet cardboard",Fresh flowers,B
Best wine for a long talk at sunset?,Tequila… not wine!,Super Tuscan monster,Pinot Noir,C
Most Lambrusco is…,Still white,Lightly sparkling red,Fortified rosé,B
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,A
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",C
Aglianico is most associated with…,Sicily/Sardinia,Campania/Basilicata,Piedmont/Lombardy,B
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,A
Giuseppe’s favorite sound in a quiet room?,A cork sighing,An ice cube clink,A microwave beep,A
Which wine has highest typical tannin?,Beaujolais Nouveau,Muscadet,Barolo,C
What does decanting an old red help with?,Sediment separation,Adding sugar,Raising alcohol,A
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,C
Love at first sniff smells like…,Wild strawberries,Wet dog,Tire rubber,A
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,C
What food is a friendly match with Pinot Noir?,Caramel flan,Salmon,Spicy curry,B
Champagne sweetness: which is driest?,Sec,Demi-sec,Brut Nature,C
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Merlot,Syrah,A
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,A
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,B
Best wine for a long talk at sunset?,Tequila… not wine!,Pinot Noir,Super Tuscan monster,B
Giuseppe’s rule on ice in wine?,Only in Champagne,Do what you love,Never ever!,B
Sauternes is primarily made from…,Sauvignon Gris,Gewürztraminer,Sémillon,C
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,C
What’s the secret ingredient in hospitality?,A strict rulebook,A loud cork pop,A generous pour,C
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A brooding Amarone,A cheerful Chianti,C
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,C
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,C
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,B
Giuseppe’s travel essential?,Corkscrew,Fondue set,Spare tie,A
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,A
What style is Vinho Verde usually known for?,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",B
Aglianico is most associated with…,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,B
Alsace Grand Cru is typically…,Single-varietal whites,Red blends,Fortified dessert reds,A
Which climate tends to give higher acidity?,Hot climate,Cool climate,Arid desert,B
Furmint is a key variety in…,Rioja,Tokaj,Vinho Verde,B
Giuseppe’s midnight fridge raid finds…,Mulled wine,Leftover Vermentino,Warm Merlot,B
What aroma is classic in aged Riesling?,Banana,Petrol/honey,Peppercorn,B
What is typical of Rosé production?,Limited skin contact,No skins used at all,Full skin maceration,A
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,C
Classic Loire Chenin Blanc can be…,Always fortified,Always sparkling,Dry to sweet with high acidity,C
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,B
Love at first sniff smells like…,Tire rubber,Wet dog,Wild strawberries,C
What does 'Brut' indicate on sparkling wine?,Dry style,Rosé style,Sweet style,A
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,C
Beaujolais is mostly made from which grape?,Pinot Noir,Gamay,Syrah,B
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,A
What is typical of Rosé production?,Full skin maceration,No skins used at all,Limited skin contact,C
Love at first sniff smells like…,Tire rubber,Wild strawberries,Wet dog,B
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,B
Tannins in wine come mostly from…,Fermentation temperature,"Skins, seeds, and oak",Filtration,B
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,C
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,A
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,B
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,B
Which region is famous for Malbec?,Mendoza,Burgundy,Rioja,A
Provence Rosé is usually…,Deep and sweet,Pale and dry,Fortified,B
Which country created Carmenère revival?,Uruguay,Argentina,Chile,C
Where is Priorat?,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",A
Sauternes is primarily made from…,Sauvignon Gris,Gewürztraminer,Sémillon,C
What is the main grape in Brunello di Montalcino?,Nebbiolo,Sangiovese,Barbera,B
Prosecco uses which production method?,Traditional method,Solera system,Tank (Charmat),C
Giuseppe’s rule on ice in wine?,Only in Champagne,Never ever!,Do what you love,C
Best wine for a long talk at sunset?,Super Tuscan monster,Tequila… not wine!,Pinot Noir,C
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,C
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Central Otago,Marlborough,C
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,B
Best wine for a long talk at sunset?,Pinot Noir,Tequila… not wine!,Super Tuscan monster,A
Which country created Carmenère revival?,Argentina,Uruguay,Chile,C
Vouvray is made from…,Viognier,Sauvignon Blanc,Chenin Blanc,C
Where is Priorat?,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",B
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,B
"If a wine is 'corked', it smells like…",Clean citrus,"Musty, wet cardboard",Fresh flowers,B
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,C
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,A
Which region produces Chablis?,Rhone,Burgundy,Loire Valley,B
"For beach days, Giuseppe brings…",Vintage Madeira,Albariño,Hot mulled wine,B
What’s the secret ingredient in hospitality?,A generous pour,A strict rulebook,A loud cork pop,A
Grüner Veltliner often shows…,Coconut,Coffee,White pepper,C
Chianti is dominated by which grape?,Aglianico,Sangiovese,Nebbiolo,B
Sauternes is primarily made from…,Gewürztraminer,Sémillon,Sauvignon Gris,B
Orange wine is made by…,Skin-contact white grapes,Blending red/white,Using orange fruit,A
Which wine has highest typical tannin?,Beaujolais Nouveau,Barolo,Muscadet,B
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
Which region is famous for Malbec?,Rioja,Burgundy,Mendoza,C
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,B
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,B
Which grape is classic in Châteauneuf-du-Pape?,Pinotage,Grenache,Touriga Nacional,B
His advice for opening night nerves?,Hide the bottle,Pop a Prosecco,Decant for 6 hours,B
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,C
Best wine for a long talk at sunset?,Pinot Noir,Super Tuscan monster,Tequila… not wine!,A
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,C
What is 'botrytis' known for in wine?,Bacterial spoilage,Noble rot for sweet wines,Sparkling bubbles,B
Giuseppe’s travel essential?,Spare tie,Corkscrew,Fondue set,B
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,A
"When the pizza comes, he says…",Open that Port!,Bring the Chianti!,Fetch the Sauternes!,B
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,C
What does decanting an old red help with?,Raising alcohol,Adding sugar,Sediment separation,C
‘Sur lie’ aging means aging on the…,Stems,Lees (dead yeast),Grape skins,B
What flavor can oak impart?,Vanilla,Black pepper only,Lime leaf,A
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,C
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,A
Most Lambrusco is…,Fortified rosé,Lightly sparkling red,Still white,B
Where is Priorat?,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",A
Vouvray is made from…,Chenin Blanc,Viognier,Sauvignon Blanc,A
What does Giuseppe say the swirl is for?,Letting aromas dance,Counting the legs,Hypnotizing your date,A
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,A
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,B
What flavor can oak impart?,Black pepper only,Vanilla,Lime leaf,B
Which grape makes Barolo?,Nebbiolo,Montepulciano,Sangiovese,A
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,B
Which region is famous for Malbec?,Burgundy,Mendoza,Rioja,B
Most Lambrusco is…,Lightly sparkling red,Still white,Fortified rosé,A
What food is a friendly match with Pinot Noir?,Caramel flan,Salmon,Spicy curry,B
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,B
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,C
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,A
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Fresh flowers,Clean citrus,A
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,C
‘Sur lie’ aging means aging on the…,Lees (dead yeast),Grape skins,Stems,A
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,A
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,B
What does Giuseppe say the swirl is for?,Hypnotizing your date,Letting aromas dance,Counting the legs,B
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,A
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,B
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,C
What is 'carbonic maceration' known for?,High tannin whites,Fortified wines,"Juicy, low-tannin reds",C
His advice for opening night nerves?,Hide the bottle,Pop a Prosecco,Decant for 6 hours,B
What flavor can oak impart?,Vanilla,Lime leaf,Black pepper only,A
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,A
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,B
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,A
What’s the best pairing for laughter?,Silence and spreadsheets,Good friends and good wine,Only bottled water,B
Sancerre is typically made from which grape?,Chardonnay,Chenin Blanc,Sauvignon Blanc,C
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,C
Tannins in wine come mostly from…,Filtration,"Skins, seeds, and oak",Fermentation temperature,B
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,A
Champagne sweetness: which is driest?,Sec,Demi-sec,Brut Nature,C
What food is a friendly match with Pinot Noir?,Spicy curry,Salmon,Caramel flan,B
Which wine is typically un-oaked?,Reserva Rioja,Napa Chardonnay,Muscadet,C
Giuseppe’s midnight fridge raid finds…,Mulled wine,Leftover Vermentino,Warm Merlot,B
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,A
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,A
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,A
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,C
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,A
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
Most Lambrusco is…,Lightly sparkling red,Still white,Fortified rosé,A
Giuseppe’s guilty pleasure snack with bubbles?,Steak tartare,Potato chips,Gazpacho,B
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,A
